COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,COUNTY NAME,STATE,Health_District,Lab_Report_Date,Number_of_PCR_Testing_Encounters,Number_of_Positive_PCR_Testing_Encounters,Total_Number_of_Testing_Encounters,Total_Number_of_Positive_Testing_Encounters
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/26/2020,142,8,142,8
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/27/2020,284,33,331,35
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/28/2020,261,18,303,18
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/29/2020,247,14,293,15
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/30/2020,169,9,201,9
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,5/31/2020,159,12,170,12
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/1/2020,220,11,222,11
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/2/2020,318,10,334,11
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/3/2020,289,26,299,27
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/4/2020,243,12,270,12
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/5/2020,331,15,357,15
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/6/2020,266,12,293,13
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/7/2020,210,11,219,11
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/8/2020,253,12,253,12
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/9/2020,177,9,179,9
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/10/2020,262,12,289,13
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/11/2020,221,20,241,21
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/12/2020,227,10,246,11
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/13/2020,314,16,333,17
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/14/2020,194,10,204,10
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/15/2020,172,16,173,16
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/16/2020,442,11,458,11
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/17/2020,366,8,386,8
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/18/2020,293,17,317,17
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/19/2020,367,16,386,16
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/20/2020,438,14,452,14
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/21/2020,215,21,222,21
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/22/2020,218,14,222,14
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/23/2020,312,23,319,23
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/24/2020,283,28,297,28
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/25/2020,331,25,343,25
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/26/2020,245,19,259,19
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/27/2020,403,44,430,44
51700,0.01,0.038,0.035,0.145,0.772,Norfolk,VA,Norfolk,6/28/2020,309,35,325,35
